"nuts","year","risk_pct"
"FI2",2011,11.7
"FR",2011,19.3
"HR",2011,32.6
"HR03",2011,NA
"HR04",2011,NA
"HU",2011,31.5
"HU1",2011,26
"HU10",2011,26
"HU11",2011,NA
"HU12",2011,NA
"HU2",2011,28.6
"HU21",2011,27.4
"HU22",2011,22.5
"HU23",2011,36.5
"HU3",2011,37.7
"HU31",2011,40.6
"HU32",2011,38.4
"HU33",2011,34.3
"IE",2011,29.4
"IE01",2011,33.2
"IE02",2011,28
"IS",2011,13.7
"IT",2011,28.1
"ITC",2011,17.8
"ITC1",2011,21.8
"ITC2",2011,13.6
"ITC3",2011,19.4
"ITC4",2011,15.9
"ITF",2011,44.7
"ITF1",2011,34.3
"ITF2",2011,33.8
"ITF3",2011,48.3
"ITF4",2011,42
"ITF5",2011,47.6
"ITF6",2011,47.1
"ITG",2011,48.9
"ITG1",2011,54.3
"ITG2",2011,32.4
"ITH",2011,15.7
"ITH1",2011,11.1
"ITH2",2011,14.4
"ITH3",2011,16.2
"ITH4",2011,16.3
"ITH5",2011,15.7
"ITI",2011,22.3
"ITI1",2011,20
"ITI2",2011,20.7
"ITI3",2011,21.9
"ITI4",2011,24.1
"LT",2011,33.1
"LU",2011,16.8
"LV",2011,40.1
"MK",2011,NA
"MT",2011,22.1
"NL",2011,15.7
"NL1",2011,17.6
"NL11",2011,NA
"NL12",2011,NA
"NL13",2011,NA
"NL2",2011,16
"NL21",2011,NA
"NL22",2011,NA
"NL23",2011,NA
"NL3",2011,15.8
"NL31",2011,NA
"NL32",2011,NA
"NL33",2011,NA
"NL34",2011,NA
"NL4",2011,14.5
"NL41",2011,NA
"NL42",2011,NA
"NO",2011,14.5
"NO01",2011,14.6
"NO02",2011,12.5
"NO03",2011,14.2
"NO04",2011,15.2
"NO05",2011,13.1
"NO06",2011,16.3
"NO07",2011,16.6
"PL",2011,27.2
"PL1",2011,NA
"PL2",2011,NA
"PL3",2011,NA
"PL4",2011,NA
