PLANNAME,EW2016,STATUS1,STATUS2,STATUS3,STATUS4,DYNAMO1,DYNAMO2,DYNAMO3,DYNAMO4
Zingster Straße Ost,11771,8.67,3.16,20.53,50.31,-1.73,-0.96,1.76,-0.11
Zingster Straße West,9670,9.77,3.1,22.76,51.85,-1.32,-1.43,-0.57,-2.95
Mühlengrund,5238,6.64,2.51,9.98,27.88,-1.06,-0.66,-1.07,-5.46
Malchower Weg,9242,6.19,1.74,11.3,28.5,0.65,0.09,3.43,6.32
Hauptstraße,6410,6.8,2.57,12.39,27.13,-0.82,-0.75,-1.2,-5.33
Orankesee,4014,2.8,0.2,4.81,10.51,-0.05,-0.73,2.63,6.65
Große-Leege-Straße,9074,5.67,1.85,12.03,28.23,-1.09,-0.64,1.93,4.38
Landsberger Allee,14529,6.96,2.49,14.78,39.41,-1.64,-0.62,0.47,-0.43
Weiße Taube,3725,2.28,0.64,3.44,8.26,-0.7,-0.03,-0.23,-1.9
Hohenschönhausener Straße,6044,9.46,3.68,18.7,57.64,-1.3,-0.11,-0.13,-4.1
Fennpfuhl West,15954,5.87,2.11,11.61,31.49,-1.68,-0.72,-0.47,-3.23
Fennpfuhl Ost,10784,7.75,2.58,16.62,42.35,-1.91,-0.95,-0.4,-6.01
Herzbergstraße,5858,4.71,1.19,11.04,34.72,-0.34,-0.38,0.24,1.2
Rüdigerstraße,25327,5.98,1.95,10.19,20.06,-1.38,-0.81,-0.45,-4.66
Frankfurter Allee Süd,10019,6.55,2.18,14.05,38.77,-1.75,-0.87,-0.43,-1.42
Victoriastadt,3817,5.5,1.62,9.3,13.55,-1.33,-0.19,-1.87,-5.53
Weitlingstraße,28022,6.81,2.25,11.57,25.98,-1.01,-0.43,-1.16,-5.92
Rosenfelder Ring,5448,8.34,2.79,14.59,46.89,-2.66,-1.79,-0.64,-2.22
Gensinger Straße,5980,9.03,3.25,18.8,43.03,-0.83,-0.16,0.14,-1.21
Tierpark,3033,6.6,1.64,14.9,34.02,-2.27,-1.79,-2.85,-9.57
Sewanstraße,25108,6.57,2.29,12.12,38.68,-1,-0.86,0.23,-3.43
Rummelsburg,3494,3.5,0.65,3.86,3.28,-1.03,-0.89,0.03,0.11
Karlshorst West,9336,3.23,0.9,5.33,8.6,-0.93,-0.48,-0.56,-1.87
Karlshorst Nord,11073,3.02,0.9,3.91,5.67,-0.9,-0.51,-0.24,-0.24
Karlshorst Süd,6668,2.8,0.8,2.92,3.23,-0.23,-0.06,-0.26,-0.61
Breitkopfbecken,7568,10.09,3.96,22.6,52.51,-0.89,-0.04,-0.79,-1.99
Hausotterplatz,9479,8.58,2.9,23.58,52.45,-1.53,-0.59,-0.1,-1.25
Letteplatz,10672,9.52,3.01,22.94,51.88,-0.89,-0.55,-1.47,-3.7
Teichstraße,13515,8.41,2.75,20.58,52.77,-1.4,-0.73,-0.83,-1.2
Schäfersee,8803,9.48,3.17,20.23,52.51,-1.25,-0.31,-0.3,-2.04
Humboldtstraße,4601,7.45,2.54,12.39,33.55,0.53,0.1,-0.65,3.01
Waldidyll/Flughafensee,7315,3.47,1.21,6.94,15.19,-0.86,-0.08,0.18,-0.92
Tegel Süd,7651,9.31,3.3,20.55,44.36,0.11,-0.18,-0.14,-0.92
Reinickes Hof,2598,9.69,3.19,17.44,46.53,-0.77,-0.6,0.61,3.97
Klixstraße,7955,11.14,3.85,29.52,62.96,-0.14,-0.07,0.42,0.2
Mellerbogen,5517,7.01,2.39,14.77,42.59,-0.22,-0.45,-0.41,-1.64
Scharnweberstraße,10663,10.71,3.67,23.6,53.66,0.61,0.26,-0.35,-1.11
Alt-Tegel,10698,4.87,1.56,6.85,16.33,-0.46,0.05,-0.54,-1.63
Tegeler Forst,252,,,,,,,,
Konradshöhe/Tegelort,6081,2.1,0.6,2.2,5.63,-0.77,-0.32,-0.07,-0.15
Heiligensee,18043,2.47,0.77,2.74,4.94,-0.03,0.03,0.19,0.71
Hermsdorf,16532,2.59,0.83,2.91,5.2,-0.35,-0.08,0.12,0.58
Frohnau,16886,2.21,0.58,2.2,4.2,-0.06,-0.12,0.17,0.97
Wittenau Süd,15270,6.78,2.18,12.85,31.82,0.02,-0.03,1.08,5.42
Wittenau Nord,6561,3.65,1,6.52,16.46,0.22,0.02,0.33,2.04
Waidmannslust,4924,3.47,0.97,5.75,11.61,-0.65,-0.36,0.69,2.78
Lübars,5120,3,1.16,3.42,6.61,0.09,0.31,0.16,1.96
Schorfheidestraße,3054,4.45,0.9,8.74,25,-0.36,-0.49,1.65,6.13
Märkisches Zentrum,14505,11.22,3.84,26.88,61.05,-0.1,-0.33,-0.94,-4.65
Treuenbrietzener Straße,11666,12.43,4.11,34.31,64.9,-0.51,-0.09,-0.62,-3.46
Dannenwalder Weg,10481,11.45,3.83,30.74,59.95,-0.24,-0.46,-0.81,-2.25
